Time (s),Reference Distance (mm),IR Sensor (V),Capacitive Sensor (V),Eddy Current Sensor (V),LED Sensor (V),Linear Potentiometer (V)
19.8500000000002,2.79,1.5662,8.4663,10.4486,6.9833,5.2176
19.9000000000002,2.8,1.5648,8.5156,10.476,6.9717,5.2211
19.9500000000001,2.81,1.5628,8.4818,10.4306,6.978,5.212
20.0000000000001,2.82,1.562,8.4195,10.4704,6.9873,5.2105
20.0500000000001,2.82,1.5706,8.4306,10.4561,6.9767,5.2148
20.1000000000001,2.82,1.567,8.5099,10.4253,6.9892,5.2014
20.1500000000002,2.83,1.5631,8.5363,10.4635,6.9617,5.2126
20.2000000000001,2.84,1.5495,8.4689,10.486,6.9555,5.1816
20.2500000000001,2.86,1.5356,8.4978,10.4806,6.9577,5.1903
20.3000000000001,2.9,1.5301,8.4915,10.4613,6.9427,5.1722
20.3500000000002,2.92,1.5782,8.5146,10.4828,6.9284,5.1616
20.4000000000002,2.98,1.6777,8.4282,10.4379,6.8767,5.1315
20.4500000000002,3.03,1.734,8.492,10.4775,6.8372,5.124
20.5000000000002,3.06,1.8419,8.4415,10.5141,6.7916,5.0952
20.5500000000002,3.1,1.9385,8.4669,10.5241,6.786,5.0738
20.6000000000002,3.17,1.9448,8.4602,10.5131,6.7784,5.083
20.6500000000002,3.18,1.9946,8.4789,10.5322,6.7941,5.0453
20.7000000000002,3.23,2.0516,8.4301,10.5231,6.765,5.0349
20.7500000000002,3.28,2.0697,8.4296,10.5168,6.7316,5.0092
20.8000000000002,3.31,2.1299,8.4435,10.4801,6.6896,5.0096
20.8500000000002,3.34,2.1365,8.4816,10.5493,6.6993,4.9853
20.9000000000002,3.39,2.1597,8.4964,10.556,6.696,4.9549
20.9500000000002,3.43,2.0468,8.4433,10.51,6.6815,4.9415
21.0000000000002,3.45,2.0924,8.4712,10.5962,6.7053,4.9214
21.0500000000002,3.52,2.1058,8.4846,10.5304,6.6783,4.9316
21.1000000000002,3.56,2.1209,8.472,10.5616,6.6715,4.8964
21.1500000000002,3.58,2.0937,8.4761,10.5225,6.6594,4.8789
21.2000000000002,3.63,2.1342,8.5191,10.5251,6.6538,4.8592
21.2500000000002,3.69,2.2222,8.453,10.6252,6.6379,4.8497
21.3000000000002,3.74,2.1878,8.4606,10.566,6.528,4.8156
21.3500000000002,3.76,2.2203,8.4628,10.5415,6.4834,4.7997
21.4000000000002,3.82,2.314,8.4624,10.6166,6.4058,4.7785
21.4500000000002,3.83,2.4056,8.464,10.5868,6.3837,4.7705
21.5000000000002,3.89,2.4714,8.477,10.6037,6.3898,4.7501
21.5500000000002,3.93,2.4874,8.4457,10.6242,6.4034,4.7512
21.6000000000002,3.98,2.4929,8.4924,10.6231,6.3863,4.7373
21.6500000000002,4,2.391,8.4327,10.6329,6.4267,4.696
21.7000000000002,4.05,2.4304,8.4463,10.6362,6.4318,4.6803
21.7500000000002,4.09,2.594,8.4872,10.6153,6.4342,4.6727
21.8000000000002,4.13,2.555,8.4306,10.6901,6.4447,4.6436
21.8500000000002,4.17,2.5493,8.4881,10.6323,6.4269,4.638
21.9000000000002,4.19,2.6196,8.4714,10.611,6.4347,4.6253
21.9500000000002,4.24,2.6992,8.5152,10.6228,6.3999,4.6102
22.0000000000002,4.23,2.7072,8.4978,10.64,6.4139,4.62
22.0500000000002,4.21,2.6914,8.4916,10.6362,6.4276,4.6294
22.1000000000002,4.23,2.6957,8.514,10.6328,6.4194,4.633
22.1500000000002,4.24,2.7116,8.417,10.6336,6.4029,4.6267
22.2000000000002,4.25,2.7059,8.4478,10.6827,6.4006,4.6399
22.2500000000002,4.22,2.7063,8.4687,10.6018,6.4014,4.6233
22.3000000000002,4.24,2.7028,8.5056,10.6347,6.4106,4.63
22.3500000000002,4.25,2.6908,8.463,10.601,6.4193,4.6124
22.4000000000002,4.23,2.703,8.499,10.6557,6.4195,4.621
22.4500000000002,4.25,2.6951,8.4921,10.6308,6.422,4.6298
22.5000000000002,4.23,2.7047,8.4794,10.6053,6.4216,4.6298
22.5500000000002,4.23,2.7113,8.4708,10.5982,6.4114,4.6179
22.6000000000002,4.26,2.6926,8.471,10.6557,6.4291,4.6282
22.6500000000002,4.23,2.7123,8.4996,10.5993,6.4078,4.6181
22.7000000000002,4.25,2.7141,8.5226,10.6408,6.4233,4.6259
22.7500000000002,4.24,2.6955,8.5141,10.6323,6.4048,4.6266
22.8000000000002,4.25,2.7166,8.4974,10.6612,6.4369,4.628
22.8500000000002,4.25,2.7014,8.4383,10.6628,6.4091,4.6298
22.9000000000002,4.22,2.705,8.4596,10.6098,6.4047,4.6266
22.9500000000002,4.26,2.7055,8.4718,10.6136,6.4174,4.6287
23.0000000000002,4.23,2.7072,8.4381,10.6103,6.4238,4.6302
23.0500000000002,4.24,2.7008,8.4777,10.5844,6.4085,4.6164
23.1000000000002,4.26,2.6971,8.4857,10.572,6.4144,4.6307
23.1500000000002,4.26,2.7105,8.4993,10.6328,6.4086,4.6408
23.2000000000002,4.24,2.7045,8.4441,10.65,6.4072,4.63
23.2500000000002,4.22,2.7171,8.5109,10.6501,6.4009,4.6216
23.3000000000002,4.23,2.6942,8.4734,10.6552,6.4173,4.6166
23.3500000000002,4.24,2.7178,8.4391,10.5971,6.4275,4.6305
23.4000000000002,4.23,2.7101,8.4658,10.6501,6.4225,4.6242
23.4500000000002,4.25,2.707,8.4616,10.6013,6.4206,4.6241
23.5000000000002,4.25,2.7038,8.4168,10.6543,6.4289,4.6337
23.5500000000002,4.24,2.7017,8.4568,10.6174,6.4091,4.6249
23.6000000000002,4.25,2.7068,8.5269,10.6318,6.4184,4.6248
23.6500000000002,4.22,2.7179,8.4864,10.6107,6.4271,4.6276
23.7000000000002,4.22,2.7052,8.4916,10.6283,6.4056,4.6208
23.7500000000002,4.23,2.709,8.5178,10.6215,6.4211,4.6174
23.8000000000002,4.23,2.7092,8.475,10.6024,6.4118,4.6161
23.8500000000002,4.23,2.6979,8.4166,10.6671,6.4253,4.6167
23.9000000000002,4.26,2.7108,8.4434,10.6293,6.4253,4.6193
23.9500000000002,4.24,2.7074,8.5177,10.6555,6.4083,4.6304
24.0000000000002,4.24,2.7107,8.4303,10.6353,6.419,4.6182
24.0500000000002,4.24,2.7193,8.4896,10.6569,6.4263,4.6241
24.1000000000002,4.23,2.7088,8.48,10.6733,6.4049,4.6237
24.1500000000002,4.25,2.7149,8.5312,10.6213,6.4062,4.6213
24.2000000000002,4.24,2.7079,8.5265,10.6033,6.4187,4.6244
24.2500000000002,4.22,2.708,8.5009,10.6111,6.4242,4.6323
24.3000000000002,4.23,2.7056,8.5113,10.6253,6.4269,4.6161
24.3500000000002,4.24,2.7091,8.5138,10.6462,6.419,4.6215
24.4000000000002,4.23,2.72,8.4771,10.606,6.4074,4.6361
24.4500000000002,4.24,2.7177,8.4553,10.6409,6.4159,4.626
24.5000000000002,4.22,2.7041,8.4541,10.6526,6.4214,4.6228
24.5500000000002,4.23,2.7061,8.4672,10.6576,6.4183,4.6255
24.6000000000002,4.24,2.7101,8.5199,10.6445,6.4009,4.6266
24.6500000000002,4.26,2.7097,8.4525,10.6473,6.4319,4.621
24.7000000000002,4.23,2.7095,8.4398,10.6234,6.4303,4.6289
24.7500000000002,4.22,2.7162,8.5349,10.628,6.4294,4.6234
24.8000000000002,4.23,2.712,8.4185,10.6217,6.4215,4.6241
24.8500000000002,4.24,2.7095,8.462,10.6502,6.4359,4.6128
24.9000000000002,4.22,2.7065,8.4216,10.6658,6.423,4.6181
24.9500000000002,4.25,2.7043,8.5098,10.625,6.4208,4.6298
25.0000000000002,4.24,2.7122,8.4414,10.6511,6.4278,4.6275
25.0500000000002,4.26,2.7112,8.4819,10.6901,6.4132,4.6262
25.1000000000002,4.22,2.7141,8.449,10.686,6.4159,4.6216
25.1500000000002,4.22,2.7142,8.4433,10.6901,6.4264,4.6234
25.2000000000002,4.23,2.7118,8.4714,10.6496,6.4243,4.6297
25.2500000000002,4.23,2.7216,8.448,10.5801,6.4233,4.621
25.3000000000002,4.23,2.7207,8.4677,10.5972,6.4184,4.6337
25.3500000000002,4.25,2.7036,8.4572,10.6073,6.4049,4.6181
25.4000000000002,4.24,2.7106,8.47,10.6778,6.425,4.6272
25.4500000000002,4.24,2.7186,8.5105,10.6302,6.4139,4.6211
25.5000000000002,4.24,2.7152,8.4713,10.593,6.4217,4.6294
25.5500000000002,4.24,2.7169,8.5363,10.6737,6.4168,4.638
25.6000000000002,4.25,2.7086,8.4452,10.6901,6.4158,4.6183
25.6500000000002,4.23,2.7111,8.4699,10.6567,6.4267,4.6349
25.7000000000002,4.24,2.7137,8.5253,10.6489,6.4315,4.6317
25.7500000000002,4.25,2.7007,8.4474,10.6172,6.4295,4.6161
25.8000000000002,4.24,2.7234,8.4878,10.6556,6.411,4.6288
25.8500000000002,4.23,2.7012,8.4677,10.6297,6.4339,4.6318
25.9000000000002,4.26,2.7089,8.4533,10.6516,6.4207,4.6258
25.9500000000002,4.24,2.7064,8.4576,10.6195,6.4069,4.6294
26.0000000000002,4.24,2.7219,8.4189,10.6426,6.4303,4.6282
26.0500000000002,4.26,2.7156,8.4478,10.6734,6.418,4.6408
26.1000000000002,4.24,2.7211,8.4731,10.6482,6.4097,4.6208
26.1500000000002,4.25,2.7109,8.4619,10.5701,6.426,4.631
26.2000000000002,4.25,2.7183,8.4444,10.6367,6.4128,4.6317
26.2500000000002,4.25,2.7237,8.4787,10.6151,6.4237,4.6254
26.3000000000002,4.23,2.7157,8.4576,10.6431,6.4176,4.6262
26.3500000000002,4.24,2.7263,8.5307,10.6411,6.4296,4.6216
26.4000000000002,4.25,2.7067,8.4543,10.6224,6.4172,4.6169
26.4500000000002,4.23,2.7142,8.5363,10.6385,6.4232,4.6125
26.5000000000002,4.24,2.7169,8.5264,10.616,6.4172,4.6355
26.5500000000002,4.25,2.7229,8.5054,10.5701,6.4145,4.6281
26.6000000000002,4.26,2.7172,8.4865,10.6579,6.4293,4.6408
26.6500000000002,4.23,2.7089,8.4857,10.6281,6.42,4.6258
26.7000000000002,4.24,2.7163,8.4868,10.6133,6.4052,4.6245
26.7500000000002,4.24,2.7266,8.428,10.6269,6.4234,4.6255
26.8000000000002,4.25,2.7206,8.5001,10.6345,6.4287,4.6337
26.8500000000002,4.24,2.7111,8.5078,10.6106,6.4048,4.6329
26.9000000000003,4.25,2.7077,8.4453,10.6299,6.4029,4.6256
26.9500000000003,4.23,2.7179,8.4367,10.62,6.4254,4.6412
27.0000000000002,4.24,2.7225,8.4826,10.5715,6.4204,4.6159
27.0500000000002,4.23,2.7494,8.4436,10.6676,6.4104,4.6185
27.1000000000002,4.26,2.7687,8.4565,10.6361,6.4005,4.6024
27.1500000000003,4.31,2.712,8.493,10.6492,6.3795,4.5901
27.2000000000002,4.32,2.6871,8.4807,10.6186,6.3609,4.5705
27.2500000000002,4.38,2.7348,8.4814,10.6548,6.3249,4.5615
27.3000000000002,4.42,2.9442,8.461,10.6278,6.2087,4.5389
27.3500000000003,4.43,3.0349,8.4553,10.6077,6.1912,4.519
27.4000000000002,4.53,3.0494,8.4918,10.5927,6.1872,4.5202
27.4500000000003,4.53,3.0582,8.5001,10.6328,6.1693,4.4841
27.5000000000003,4.57,2.9967,8.4793,10.6123,6.172,4.4592
27.5500000000003,4.64,3.0114,8.5058,10.6546,6.1647,4.4527
27.6000000000003,4.66,2.94,8.4631,10.6423,6.1263,4.4311
27.6500000000003,4.71,2.8254,8.4642,10.6475,6.1031,4.4187
27.7000000000003,4.74,3.165,8.4599,10.6145,6.0768,4.3878
27.7500000000003,4.8,3.216,8.4699,10.6153,6.0428,4.3704
27.8000000000003,4.84,3.1354,0.8088,10.6347,6.0322,4.3572
27.8500000000003,4.89,3.0772,0.813,10.59,6.0245,4.3579
27.9000000000003,4.9,2.9544,0.8074,10.6178,5.9952,4.3439
27.9500000000003,4.99,3.1184,0.8114,10.5889,5.9636,4.3168
28.0000000000003,4.97,3.2518,0.815,10.6631,5.9421,4.2929
28.0500000000003,5.03,3.3415,0.8099,10.6398,5.9151,4.2874
28.1000000000003,5.09,3.4906,0.8062,10.6251,5.889,4.254
28.1500000000003,5.1,3.3958,0.8134,10.6146,5.8885,4.2365
28.2000000000003,5.14,3.4004,0.8147,10.6607,5.9046,4.2299
28.2500000000003,5.19,3.375,0.8137,10.6304,5.8715,4.2119
28.3000000000003,5.24,3.3195,0.811,10.6071,5.8307,4.2016
28.3500000000003,5.29,3.3479,0.8166,10.6358,5.7921,4.1987
28.4000000000003,5.3,3.4499,0.8118,10.6158,5.7766,4.1797
28.4500000000003,5.38,3.4716,0.8146,10.5881,5.7659,4.1491
28.5000000000003,5.4,3.4554,0.8141,10.6901,5.7182,4.1272
28.5500000000003,5.43,3.4033,0.8106,10.622,5.7039,4.1054
28.6000000000003,5.45,3.7249,0.8093,10.6111,5.6839,4.0828
28.6500000000003,5.51,3.8133,0.8091,10.6352,5.6709,4.0749
28.7000000000003,5.5,3.9529,0.8103,10.6374,5.6382,4.0676
28.7500000000003,5.54,3.8677,0.8108,10.625,5.6134,4.0329
28.8000000000003,5.6,3.8703,0.8122,10.6372,5.6075,4.0304
28.8500000000003,5.65,3.9212,0.8119,10.6414,5.557,4.0119
28.9000000000003,5.65,4.0522,0.812,10.6378,5.5177,3.9885
28.9500000000003,5.73,3.8959,0.8128,10.6161,5.5296,3.97
29.0000000000003,5.78,3.7332,0.8066,10.653,5.4996,3.9582
29.0500000000003,5.8,3.7181,0.8139,10.6333,5.4841,3.9559
29.1000000000003,5.76,3.723,0.8115,10.6379,5.4982,3.9598
29.1500000000003,5.81,3.7169,0.8137,10.6755,5.4767,3.9465
29.2000000000003,5.79,3.7307,0.8136,10.5701,5.4817,3.951
29.2500000000003,5.83,3.7211,0.814,10.5701,5.4917,3.9495
29.3000000000003,5.78,3.7309,0.8157,10.6196,5.4878,3.9563
29.3500000000003,5.79,3.7274,0.8182,10.6308,5.4882,3.962
29.4000000000003,5.82,3.7239,0.806,10.5939,5.4913,3.9562
29.4500000000003,5.78,3.7202,0.8128,10.6313,5.497,3.9633
29.5000000000003,5.81,3.7269,0.8055,10.6328,5.4818,3.9622
29.5500000000003,5.82,3.7051,0.809,10.6364,5.4825,3.9674
29.6000000000003,5.8,3.7237,0.8117,10.6333,5.4937,3.963
29.6500000000003,5.79,3.7064,0.812,10.6286,5.4855,3.9576
29.7000000000003,5.81,3.7277,0.8153,10.6438,5.4892,3.9536
29.7500000000003,5.79,3.7373,0.8087,10.657,5.4906,3.9549
29.8000000000003,5.77,3.7395,0.8145,10.5845,5.489,3.9542
29.8500000000003,5.82,3.7061,0.8101,10.6416,5.4844,3.9569
29.9000000000003,5.8,3.7162,0.8089,10.633,5.4848,3.9711
29.9500000000003,5.78,3.7235,0.8151,10.6364,5.491,3.9571
30.0000000000003,5.82,3.7431,0.8153,10.6534,5.4847,3.9512
30.0500000000003,5.79,3.7141,0.8133,10.6061,5.4826,3.9585
30.1000000000003,5.78,3.7156,0.8093,10.6194,5.4959,3.969
30.1500000000003,5.77,3.724,0.8099,10.6239,5.4772,3.9711
30.2000000000003,5.79,3.717,0.8164,10.621,5.4903,3.9514
30.2500000000003,5.76,3.7245,0.8082,10.6341,5.4943,3.9613
30.3000000000003,5.79,3.7218,0.8086,10.6217,5.4961,3.964
30.3500000000003,5.77,3.711,0.8167,10.6175,5.4828,3.9672
30.4000000000003,5.81,3.7402,0.8127,10.605,5.5001,3.9605
30.4500000000003,5.79,3.7131,0.8152,10.6059,5.4907,3.9563
30.5000000000003,5.8,3.736,0.8155,10.6411,5.4919,3.9529
30.5500000000003,5.79,3.7467,0.8106,10.6499,5.4894,3.9649
30.6000000000003,5.83,3.7215,0.8145,10.6698,5.4958,3.9676
30.6500000000003,5.77,3.725,0.8121,10.6299,5.491,3.9554
30.7000000000003,5.79,3.7107,0.8121,10.5923,5.4971,3.9523
30.7500000000003,5.79,3.7326,0.8072,10.627,5.4903,3.9539
30.8000000000003,5.79,3.7166,0.8137,10.624,5.4806,3.9613
30.8500000000003,5.8,3.7352,0.8102,10.6566,5.4893,3.9572
30.9000000000003,5.78,3.7203,0.8089,10.6477,5.4797,3.9625
30.9500000000003,5.8,3.7406,0.8175,10.6683,5.4779,3.9661
31.0000000000003,5.79,3.7233,0.8156,10.5859,5.4969,3.9579
31.0500000000003,5.78,3.7424,0.8112,10.6116,5.4817,3.9575
31.1000000000003,5.8,3.7252,0.8102,10.6742,5.4908,3.9547
31.1500000000003,5.78,3.7186,0.8096,10.6401,5.4815,3.9584
31.2000000000003,5.8,3.7316,0.813,10.5869,5.4888,3.966
31.2500000000003,5.77,3.7315,0.8085,10.6736,5.5005,3.9594
31.3000000000003,5.78,3.7426,0.8153,10.649,5.4963,3.9564
31.3500000000003,5.83,3.7325,0.8126,10.6383,5.4978,3.9595
31.4000000000003,5.78,3.7329,0.8112,10.6718,5.4951,3.9532
31.4500000000003,5.76,3.7226,0.8126,10.6553,5.4881,3.9476
31.5000000000003,5.8,3.7347,0.8101,10.6694,5.4933,3.9699
31.5500000000003,5.82,3.7148,0.8052,10.6414,5.4976,3.9547
31.6000000000003,5.79,3.7323,0.814,10.5991,5.4965,3.9639
31.6500000000003,5.8,3.7335,0.8113,10.6644,5.4878,3.9571
31.7000000000003,5.81,3.7299,0.8083,10.6035,5.4934,3.9589
31.7500000000003,5.75,3.7192,0.8085,10.6494,5.4931,3.9537
31.8000000000003,5.79,3.7413,0.809,10.6368,5.4782,3.9572
31.8500000000003,5.81,3.7267,0.8105,10.6239,5.4846,3.9525
31.9000000000003,5.82,3.7357,0.8062,10.6306,5.4994,3.9514
31.9500000000003,5.77,3.7358,0.8061,10.5778,5.5075,3.9546
32.0000000000003,5.76,3.7152,0.8102,10.6267,5.4776,3.9672
32.0500000000003,5.76,3.7391,0.8102,10.587,5.4914,3.9562
32.1000000000003,5.8,3.7393,0.8123,10.6081,5.5062,3.9633
32.1500000000003,5.79,3.7451,0.8156,10.6405,5.4994,3.9614
32.2000000000003,5.78,3.7155,0.8148,10.5833,5.4938,3.9638
32.2500000000003,5.76,3.7383,0.8142,10.634,5.4879,3.9715
32.3000000000003,5.79,3.7377,0.8084,10.6119,5.4943,3.9598
32.3500000000003,5.81,3.7382,0.8071,10.6138,5.4876,3.9576
32.4000000000003,5.79,3.7198,0.8072,10.6407,5.4825,3.961
32.4500000000003,5.8,3.7498,0.8075,10.6075,5.494,3.9593
32.5000000000003,5.8,3.7407,0.815,10.6123,5.4879,3.9712
32.5500000000003,5.78,3.726,0.8065,10.6446,5.487,3.9609
32.6000000000003,5.8,3.7345,0.8113,10.6699,5.4976,3.9547
32.6500000000003,5.81,3.7277,0.8065,10.6341,5.4904,3.9534
32.7000000000003,5.8,3.7284,0.8123,10.6296,5.5059,3.9665
32.7500000000003,5.8,3.7414,0.8111,10.6715,5.4833,3.9563
32.8000000000003,5.8,3.7368,0.8159,10.6571,5.5002,3.9614
32.8500000000003,5.82,3.7402,0.8151,10.6245,5.4894,3.9594
32.9000000000003,5.77,3.7427,0.8101,10.6227,5.4814,3.9574
32.9500000000003,5.8,3.7449,0.8103,10.639,5.4947,3.9528
33.0000000000003,5.8,3.7383,0.8106,10.6606,5.4915,3.9612
33.0500000000003,5.8,3.7405,0.8094,10.6784,5.4849,3.9659
33.1000000000003,5.78,3.7269,0.8162,10.5846,5.4848,3.967
33.1500000000002,5.8,3.7224,0.8131,10.6608,5.4974,3.9523
33.2000000000003,5.79,3.7274,0.8102,10.5846,5.5053,3.9576
33.2500000000002,5.81,3.7273,0.8133,10.5921,5.5038,3.9657
33.3000000000003,5.79,3.7465,0.8128,10.6242,5.5016,3.9607
33.3500000000002,5.77,3.7389,0.8052,10.6207,5.4899,3.9554
33.4000000000002,5.82,3.749,0.8132,10.6141,5.4955,3.9705
33.4500000000002,5.77,3.7505,0.8126,10.6361,5.4862,3.9587
33.5000000000002,5.79,3.728,0.8139,10.6233,5.5031,3.9489
33.5500000000002,5.82,3.7319,0.811,10.6101,5.482,3.9547
33.6000000000002,5.83,3.7368,0.8067,10.6859,5.4953,3.9485
33.6500000000002,5.79,3.7368,0.8135,10.5794,5.4901,3.9554
33.7000000000002,5.78,3.7461,0.8106,10.6405,5.4827,3.9593
33.7500000000002,5.77,3.7318,0.813,10.6193,5.4909,3.9659
33.8000000000002,5.8,3.7385,0.8172,10.6286,5.4799,3.9478
33.8500000000002,5.77,3.7346,0.8105,10.6179,5.496,3.9715
33.9000000000002,5.79,3.7218,0.8118,10.6379,5.4884,3.9636
33.9500000000002,5.81,3.7342,0.8149,10.5832,5.4948,3.959
34.0000000000002,5.75,3.7388,0.8071,10.6249,5.4934,3.9646
34.0500000000002,5.8,3.7259,0.8138,10.6635,5.4943,3.9549
34.1000000000002,5.81,3.7386,0.8055,10.6414,5.4954,3.9665
34.1500000000002,5.76,3.7432,0.8106,10.6194,5.5011,3.9636
34.2000000000002,5.79,3.7396,0.8112,10.6424,5.49,3.9653
34.2500000000002,5.83,3.7462,0.8114,10.5795,5.4806,3.9537
34.3000000000002,5.84,3.7227,0.8095,10.6226,5.4559,3.9328
34.3500000000002,5.85,3.798,0.81,10.6081,5.4471,3.9155
34.4000000000002,5.87,4.0248,0.8105,10.6076,5.4181,3.9119
34.4500000000002,5.9,4.2346,0.8122,10.5863,5.3863,3.9082
34.5000000000002,6,4.3466,0.8098,10.599,5.3778,3.867
34.5500000000002,6.01,4.4653,0.8135,10.5981,5.3816,3.8506
34.6000000000002,6.03,4.45,0.8125,10.6397,5.3385,3.839
34.6500000000002,6.07,4.3971,0.8089,10.6196,5.331,3.8203
34.7000000000002,6.13,4.3103,0.8135,10.603,5.3056,3.8001
34.7500000000002,6.2,4.2204,0.8128,10.6093,5.2655,3.7658
34.8000000000002,6.22,4.2962,0.8097,10.6543,5.2316,3.749
34.8500000000002,6.28,4.3354,0.8082,10.6368,5.2334,3.7382
34.9000000000001,6.33,4.4601,0.8126,10.6256,5.1904,3.7063
34.9500000000002,6.36,4.3911,0.8097,10.6486,5.1185,3.6971
35.0000000000001,6.4,4.3426,0.8111,10.6049,5.1056,3.6958
35.0500000000002,6.46,4.3801,0.8101,10.5701,5.0533,3.6639
35.1000000000001,6.46,4.3915,0.8067,10.5957,5.052,3.6637
35.1500000000001,6.42,4.3843,0.8103,10.6562,5.0579,3.6674
35.2000000000001,6.48,4.3824,0.8093,10.6901,5.0608,3.669
35.2500000000001,6.45,4.3878,0.8091,10.6633,5.0542,3.6602
35.3000000000001,6.45,4.3867,0.8098,10.6722,5.0543,3.6599
35.3500000000001,6.44,4.377,0.8083,10.6484,5.0471,3.661
35.4000000000001,6.45,4.3639,0.8131,10.6035,5.0582,3.6678
35.4500000000001,6.45,4.4059,0.811,10.5967,5.0452,3.6659
35.5000000000001,6.44,4.3995,0.8109,10.6089,5.0506,3.6655
35.5500000000001,6.47,4.4116,0.812,10.6863,5.0461,3.6683
35.6000000000001,6.47,4.3773,0.8063,10.6458,5.056,3.6604
35.6500000000001,6.45,4.3798,0.8093,10.6499,5.0519,3.6634
35.7000000000001,6.42,4.3901,0.8119,10.5715,5.0449,3.6728
35.7500000000001,6.49,4.3728,0.8053,10.6408,5.0631,3.6691
35.8000000000001,6.45,4.3812,0.812,10.6248,5.0437,3.6648
35.8500000000001,6.43,4.3818,0.8156,10.5809,5.0504,3.6654
35.9000000000001,6.47,4.391,0.8135,10.6717,5.0436,3.659
35.9500000000001,6.46,4.3762,0.8135,10.5832,5.0534,3.6754
36.0000000000001,6.41,4.385,0.8105,10.6307,5.0598,3.6711
36.0500000000001,6.47,4.3874,0.8105,10.6452,5.0629,3.6628
36.1000000000001,6.46,4.4078,0.8101,10.6327,5.0577,3.6645
36.1500000000001,6.46,4.3906,0.8075,10.5768,5.0637,3.6617
36.2000000000001,6.47,4.3879,0.8136,10.6099,5.0561,3.657
36.2500000000001,6.46,4.4023,0.8096,10.5701,5.0478,3.6675
36.3000000000001,6.48,4.3723,0.8127,10.6136,5.05,3.6641
36.3500000000001,6.44,4.399,0.8118,10.6333,5.0527,3.6684
36.4000000000001,6.41,4.3956,0.8108,10.649,5.0479,3.6723
36.4500000000001,6.47,4.3846,0.8094,10.6378,5.0555,3.6703
36.5000000000001,6.49,4.3928,0.8096,10.6559,5.0536,3.6626
36.5500000000001,6.47,4.4058,0.813,10.6343,5.0404,3.6603
36.6000000000001,6.44,4.4016,0.8092,10.6265,5.0461,3.6612
36.6500000000001,6.47,4.4089,0.8096,10.6316,5.0543,3.6661
36.7000000000001,6.43,4.3899,0.8058,10.5753,5.0492,3.6634
36.7500000000001,6.46,4.3818,0.8175,10.5988,5.0526,3.6664
36.8,6.49,4.3937,0.8136,10.6326,5.0497,3.6725
36.85,6.45,4.3986,0.8144,10.6727,5.0486,3.6582
36.9,6.47,4.393,0.813,10.6045,5.0548,3.6607
36.95,6.46,4.3929,0.8103,10.6467,5.0528,3.6646
37,6.47,4.4007,0.8072,10.5936,5.0499,3.665
37.05,6.44,4.4008,0.8121,10.6188,5.0518,3.6568
37.1,6.42,4.3978,0.8129,10.6438,5.0502,3.671
37.15,6.45,4.4181,0.8089,10.6022,5.0447,3.6661
37.2,6.45,4.3954,0.8116,10.6016,5.0559,3.66
37.25,6.42,4.4064,0.8131,10.6254,5.0481,3.6698
37.3,6.49,4.395,0.8107,10.6385,5.0397,3.6747
37.35,6.47,4.3724,0.8172,10.6541,5.0447,3.6652
37.4,6.46,4.3781,0.8081,10.6019,5.0439,3.6592
37.45,6.46,4.3833,0.812,10.6327,5.0538,3.6675
37.5,6.42,4.3962,0.8098,10.6883,5.0401,3.6619
37.55,6.44,4.3923,0.8113,10.6708,5.042,3.669
37.6,6.42,4.4054,0.8097,10.6177,5.0424,3.6717
37.65,6.46,4.3922,0.8077,10.6777,5.0598,3.6633
37.7,6.46,4.4009,0.8125,10.6691,5.0611,3.6689
37.75,6.44,4.4106,0.8079,10.6339,5.0439,3.6662
37.8,6.46,4.392,0.812,10.6581,5.0457,3.6701
37.85,6.49,4.402,0.8108,10.6294,5.055,3.6634
37.9,6.45,4.3894,0.8095,10.6499,5.0406,3.6738
37.95,6.45,4.3929,0.8091,10.6071,5.0413,3.6748
38,6.48,4.4033,0.8117,10.5701,5.0524,3.6711
38.05,6.45,4.4087,0.8121,10.6328,5.0501,3.6692
38.1,6.46,4.3968,0.8111,10.6004,5.0569,3.6638
38.15,6.48,4.4214,0.8125,10.6545,5.0507,3.6593
38.2,6.46,4.3969,0.8109,10.66,5.061,3.676
38.25,6.44,4.3997,0.8164,10.6663,5.0582,3.6668
38.3,6.44,4.4123,0.8146,10.6468,5.0451,3.6669
38.35,6.43,4.4128,0.8152,10.6579,5.0597,3.6678
38.4,6.44,4.3984,0.8151,10.6514,5.0506,3.6724
38.45,6.48,4.423,0.8108,10.6609,5.0558,3.6706
38.5,6.44,4.3932,0.8118,10.6074,5.0539,3.6716
38.5499999999999,6.43,4.4075,0.8138,10.6064,5.0501,3.6759
38.5999999999999,6.45,4.4111,0.8106,10.6158,5.0587,3.6605
38.6499999999999,6.45,4.4238,0.8126,10.6628,5.0544,3.6699
38.6999999999999,6.41,4.3976,0.8104,10.6214,5.0577,3.6763
38.7499999999999,6.45,4.383,0.8161,10.5757,5.0511,3.6692
38.7999999999999,6.41,4.4072,0.8122,10.6137,5.0629,3.6651
38.8499999999999,6.46,4.4176,0.8102,10.6419,5.051,3.6685
38.8999999999999,6.47,4.3924,0.8137,10.6467,5.0534,3.659
38.9499999999999,6.45,4.4175,0.8115,10.6512,5.048,3.6671
38.9999999999999,6.43,4.4082,0.8133,10.6186,5.0446,3.6749
39.0499999999999,6.44,4.4073,0.8133,10.6345,5.0556,3.6745
